iter	Logloss
0	0.6225466531
1	0.5693562288
2	0.5282804068
3	0.4989198179
4	0.4745589091
5	0.4545011506
6	0.4380313045
7	0.4259849416
8	0.4162628541
9	0.4077695168
10	0.4000805626
11	0.3933193316
12	0.3879018281
13	0.3845209185
14	0.3806074224
15	0.376538926
16	0.3736569
17	0.3711902649
18	0.3679401141
19	0.3649906692
20	0.3628635548
21	0.3611467044
22	0.3589487833
23	0.357171248
24	0.3558466781
25	0.3542394321
26	0.3527777404
27	0.3510998927
28	0.3497261096
29	0.3475600156
30	0.3458368743
31	0.3453118362
32	0.3441729477
33	0.3431900326
34	0.3418504157
35	0.339814163
36	0.3383923018
37	0.3373673935
38	0.3363137851
39	0.3357248147
40	0.3345021312
41	0.3331921988
42	0.3322883134
43	0.3313728487
44	0.3299245432
45	0.3293270581
46	0.3286281901
47	0.3282437239
48	0.3276675273
49	0.326830563
50	0.325947293
51	0.3251370396
52	0.325048791
53	0.3238949798
54	0.3236302957
55	0.3233541258
56	0.3227163473
57	0.3222069758
58	0.3216674432
59	0.3206676932
60	0.3201202348
61	0.3195489829
62	0.3189663716
63	0.3184560807
64	0.317669418
65	0.3170503391
66	0.3167553274
67	0.3156006749
68	0.3152340449
69	0.3146198761
70	0.3141400126
71	0.3136523997
72	0.3130762613
73	0.3124152951
74	0.3117493111
75	0.3113626951
76	0.310900414
77	0.3103064203
78	0.3095956014
79	0.309310852
80	0.3089979015
81	0.3085662448
82	0.3079357646
83	0.3072846671
84	0.3069283772
85	0.3064839321
86	0.3058576633
87	0.3052473006
88	0.3044970367
89	0.3041475921
90	0.3032836652
91	0.3026519052
92	0.3023105494
93	0.3017246617
94	0.3007445173
95	0.3000425854
96	0.2995054261
97	0.2991613475
98	0.2986805043
99	0.2977993706
100	0.2972801762
101	0.2966889591
102	0.2962773395
103	0.2957059963
104	0.2949075242
105	0.2944784331
106	0.2939652406
107	0.2935313597
108	0.2932743041
109	0.2928044681
110	0.2919452742
111	0.291550113
112	0.2910552103
113	0.2905837344
114	0.290019206
115	0.289637178
116	0.2892278816
117	0.2883124207
118	0.2876095987
119	0.2872111598
120	0.2868342127
121	0.2862451921
122	0.2854494665
123	0.2849281548
124	0.2843577824
125	0.283687231
126	0.2832574802
127	0.2825116294
128	0.2817492354
129	0.2808553619
130	0.2804492395
131	0.2793769909
132	0.2789626746
133	0.2785982307
134	0.2781602717
135	0.2774675706
136	0.2763503015
137	0.276082623
138	0.2756222423
139	0.2750216766
140	0.274514498
141	0.274137626
142	0.272733474
143	0.2723326458
144	0.2718966544
145	0.2710530352
146	0.2705531373
147	0.270172562
148	0.2695693199
149	0.2691424281
150	0.2685767245
151	0.2678984967
152	0.2672329696
153	0.2669634974
154	0.2665725002
155	0.2661095803
156	0.2657513135
157	0.2654402582
158	0.2648103939
159	0.2642519481
160	0.2635917944
161	0.2628541337
162	0.2624273151
163	0.2619842517
164	0.2613846433
165	0.2607763784
166	0.2598202727
167	0.2593608096
168	0.2589732113
169	0.258427633
170	0.2581791105
171	0.2577578623
172	0.2575213826
173	0.2572038389
174	0.2569526046
175	0.2562692764
176	0.2559395187
177	0.255536999
178	0.2551689351
179	0.2546476264
180	0.2542696582
181	0.2538880953
182	0.2533760561
183	0.2530550701
184	0.2524868911
185	0.2520548125
186	0.2518631451
187	0.2514404841
188	0.2511840457
189	0.2506998219
190	0.2503799566
191	0.2500448664
192	0.2495305473
193	0.2492688679
194	0.2488905861
195	0.2485016575
196	0.2482892328
197	0.247751298
198	0.2471698727
199	0.2467206351
200	0.2463023822
201	0.2459859694
202	0.2458484639
203	0.245595995
204	0.2449695101
205	0.2447199134
206	0.2444936874
207	0.2441564255
208	0.243864294
209	0.2435493172
210	0.2431378315
211	0.2429201195
212	0.2425409166
213	0.2422281972
214	0.2415857949
215	0.2413440582
216	0.2408732666
217	0.2405527313
218	0.2403918447
219	0.2400343319
220	0.239556346
221	0.239157766
222	0.2388402686
223	0.2384776564
224	0.2382845188
225	0.2380343804
226	0.2378961334
227	0.2374914356
228	0.2372178905
229	0.2368969564
230	0.2365513051
231	0.2364154375
232	0.2359416537
233	0.2357794673
234	0.235414353
235	0.2349730093
236	0.2345161578
237	0.2341617332
238	0.2338557445
239	0.2335735152
240	0.2332653803
241	0.2330717371
242	0.2324681307
243	0.232341533
244	0.2321485764
245	0.2315444366
246	0.2312929092
247	0.2312518482
248	0.2308425496
249	0.2305549321
250	0.2303946041
251	0.2301550004
252	0.2299583875
253	0.2293978029
254	0.2291088313
255	0.2287196173
256	0.2285233397
257	0.2282329955
258	0.2279244131
259	0.2277252185
260	0.2274070374
