iter	Passed	Remaining
416	3348	4682
417	3355	4671
418	3363	4663
419	3368	4652
420	3378	4646
421	3386	4638
422	3392	4627
423	3399	4618
424	3404	4606
425	3413	4599
426	3419	4588
427	3429	4583
428	3437	4575
429	3446	4568
430	3451	4557
431	3457	4546
432	3465	4538
433	3471	4526
434	3481	4521
435	3487	4511
436	3494	4502
437	3499	4490
438	3508	4482
439	3513	4471
440	3519	4461
441	3528	4453
442	3533	4443
443	3541	4434
444	3547	4424
445	3554	4415
446	3562	4406
447	3568	4396
448	3575	4388
449	3581	4377
450	3587	4367
451	3594	4357
452	3600	4347
453	3608	4339
454	3614	4329
455	3619	4318
456	3630	4313
457	3640	4308
458	3646	4297
459	3651	4286
460	3660	4279
461	3665	4268
462	3673	4260
463	3678	4249
464	3684	4239
465	3692	4231
466	3698	4220
467	3706	4213
468	3712	4202
469	3718	4192
470	3726	4185
471	3732	4175
472	3741	4168
473	3746	4157
474	3754	4149
475	3760	4139
476	3766	4129
477	3773	4121
478	3780	4111
479	3787	4102
480	3793	4093
481	3799	4083
482	3806	4074
483	3812	4064
484	3820	4056
485	3827	4048
486	3833	4037
487	3841	4030
488	3848	4021
489	3857	4015
490	3864	4005
491	3872	3998
492	3879	3989
493	3887	3982
494	3893	3971
495	3902	3965
496	3909	3956
497	3915	3946
498	3925	3941
499	3931	3931
500	3938	3923
501	3944	3913
502	3952	3905
503	3959	3896
504	3965	3886
505	3973	3879
506	3979	3869
507	3987	3861
508	3993	3852
509	4002	3845
510	4008	3836
511	4014	3826
512	4025	3821
513	4033	3813
514	4040	3805
515	4047	3796
516	4056	3789
517	4061	3779
518	4072	3774
519	4078	3765
520	4087	3758
521	4093	3748
522	4102	3742
523	4109	3732
524	4118	3726
525	4124	3717
526	4133	3710
527	4140	3701
528	4146	3692
529	4153	3683
530	4159	3674
531	4168	3666
532	4173	3657
533	4181	3648
534	4188	3640
535	4193	3630
536	4200	3621
537	4207	3612
538	4215	3605
539	4222	3596
540	4231	3589
541	4238	3581
542	4244	3571
543	4252	3564
544	4258	3555
545	4269	3550
546	4276	3541
547	4283	3533
548	4289	3523
549	4297	3515
550	4303	3506
551	4309	3497
552	4317	3489
553	4323	3480
554	4331	3472
555	4336	3463
556	4345	3455
557	4350	3446
558	4357	3438
559	4385	3445
560	4391	3436
561	4400	3429
562	4406	3420
563	4416	3413
564	4423	3405
565	4434	3400
566	4440	3390
567	4448	3383
568	4454	3373
569	4462	3366
570	4468	3357
571	4474	3347
572	4483	3341
573	4489	3331
574	4497	3324
575	4503	3315
576	4512	3308
577	4518	3299
578	4526	3291
579	4533	3283
580	4539	3274
581	4549	3267
582	4554	3257
583	4562	3249
584	4568	3240
585	4577	3234
586	4583	3225
587	4590	3216
588	4596	3207
589	4603	3198
590	4610	3190
591	4616	3181
592	4627	3175
593	4632	3166
594	4639	3157
595	4648	3151
596	4655	3142
597	4665	3136
598	4671	3127
599	4679	3119
600	4685	3110
601	4694	3103
602	4701	3095
603	4710	3088
604	4719	3081
605	4727	3073
606	4733	3064
607	4743	3058
608	4750	3050
609	4758	3042
610	4764	3033
611	4770	3024
612	4778	3016
613	4784	3007
614	4791	2999
615	4797	2990
616	4805	2982
617	4811	2974
618	4817	2965
619	4826	2958
620	4832	2949
621	4840	2941
622	4846	2932
623	4852	2923
624	4861	2916
625	4868	2908
626	4878	2902
627	4884	2893
628	4893	2886
629	4899	2877
630	4908	2870
631	4913	2861
632	4921	2853
633	4927	2844
634	4933	2835
635	4941	2827
636	4947	2819
637	4954	2811
638	4961	2803
639	4967	2794
640	4975	2786
641	4982	2778
642	4992	2771
643	4997	2762
644	5005	2755
645	5011	2746
646	5019	2738
647	5026	2730
648	5032	2721
649	5039	2713
650	5045	2705
651	5056	2698
652	5064	2691
653	5073	2683
654	5078	2674
655	5086	2667
656	5092	2658
657	5098	2649
658	5105	2641
659	5111	2633
660	5119	2625
661	5125	2616
662	5130	2608
663	5138	2600
664	5144	2591
665	5152	2584
666	5158	2575
667	5164	2566
668	5173	2559
669	5179	2551
670	5186	2542
671	5192	2534
672	5200	2526
673	5206	2518
674	5211	2509
675	5220	2501
676	5225	2493
677	5233	2485
678	5239	2476
679	5245	2468
680	5253	2460
681	5259	2452
682	5270	2446
683	5276	2437
684	5283	2429
685	5289	2421
686	5295	2412
687	5302	2404
688	5308	2396
689	5316	2388
690	5322	2379
691	5328	2371
692	5336	2363
693	5341	2355
694	5349	2347
695	5354	2338
696	5360	2330
697	5369	2323
698	5375	2314
699	5382	2306
700	5389	2298
701	5397	2291
702	5405	2283
703	5413	2276
704	5420	2268
705	5426	2259
706	5434	2252
707	5440	2243
708	5449	2236
709	5457	2228
710	5464	2221
711	5470	2212
712	5476	2204
713	5489	2198
714	5497	2191
715	5503	2183
716	5509	2174
717	5517	2167
718	5523	2158
719	5530	2150
720	5536	2142
721	5542	2134
722	5549	2126
723	5555	2117
724	5563	2110
725	5569	2101
726	5575	2093
727	5583	2086
728	5589	2077
729	5596	2070
730	5603	2062
731	5613	2055
732	5621	2047
733	5629	2040
734	5635	2031
735	5643	2024
736	5648	2015
737	5654	2007
738	5665	2000
739	5671	1992
740	5679	1985
741	5686	1977
742	5693	1969
743	5700	1961
744	5710	1954
745	5715	1946
746	5722	1938
747	5728	1930
748	5735	1922
749	5744	1914
750	5750	1906
751	5758	1898
752	5764	1890
753	5770	1882
754	5780	1875
755	5786	1867
756	5797	1861
757	5806	1853
758	5812	1845
759	5819	1837
760	5826	1829
761	5832	1821
762	5840	1813
763	5847	1806
764	5855	1798
765	5861	1790
766	5866	1782
767	5879	1775
768	5885	1767
769	5893	1760
770	5899	1752
771	5908	1745
772	5915	1737
773	5923	1729
774	5929	1721
775	5935	1713
776	5942	1705
777	5948	1697
778	5956	1689
779	5963	1681
780	5971	1674
781	5979	1666
782	5984	1658
783	5993	1651
784	5998	1642
785	6006	1635
786	6012	1627
787	6017	1619
788	6026	1611
789	6031	1603
790	6042	1596
791	6049	1588
792	6056	1581
793	6062	1572
794	6070	1565
795	6076	1557
796	6082	1549
797	6090	1541
798	6096	1533
799	6103	1525
800	6111	1518
801	6118	1510
802	6124	1502
803	6129	1494
804	6138	1486
805	6144	1478
806	6149	1470
807	6156	1462
808	6162	1455
